pair_identifier,capacity_gl,median_annual_balance_gl,p10_annual_balance_gl,p90_annual_balance_gl,prob_positive_annual_balance,dry_season_p10_deficit_gl
n10_e001_RES11634 & n10_e001_RES11345,103.40,-4.54,-5.87,-2.97,0.02,-2.90
n10_e001_RES34296 & n10_e001_RES37454,33.20,-4.91,-5.47,-4.22,0.00,-1.57
n10_e001_RES16527 & n10_e001_RES16290,32.40,-5.20,-5.87,-4.35,0.00,-1.82
n10_e001_RES36507 & n10_e001_RES40045,29.10,-5.23,-5.81,-4.53,0.00,-1.72
n10_e001_RES15127 & n10_e001_RES14314,90.30,-5.80,-6.98,-4.44,0.00,-2.82
n10_e001_RES35358 & n10_e001_RES36475,53.70,-7.75,-8.62,-6.70,0.00,-2.56
n10_e001_RES35193 & n10_e001_RES36956,131.20,-8.64,-10.15,-6.63,0.00,-4.11
n10_e001_RES18951 & n10_e001_RES16451,299.70,-9.17,-11.66,-6.17,0.02,-5.84
n10_e001_RES37145 & n10_e001_RES40383,103.80,-12.06,-13.44,-10.42,0.00,-4.00
n10_e001_RES34837 & n10_e001_RES34205,398.70,-27.66,-31.05,-23.52,0.00,-9.71
n10_e001_RES26025 & n10_e001_RES28141,1842.80,-76.78,-87.14,-65.02,0.00,-25.80
n10_e001_RES31412 & n10_e001_RES31520,1487.30,-78.42,-88.51,-66.03,0.00,-25.84
