pair_identifier,capacity_gl,median_annual_balance_gl,p10_annual_balance_gl,p90_annual_balance_gl,prob_positive_annual_balance,prob_storage_never_empty,dry_season_prob_positive,dry_season_p10_gl
n10_e001_RES18951 & n10_e001_RES16451,299.7,2.832422486298315,1.4246122259512937,4.293574318833608,0.9976818181818182,1.0,0.0,-41.36199547708257
n10_e001_RES34837 & n10_e001_RES34205,398.7,7.159197730046692,4.668553503305777,9.811731277587073,1.0,1.0,0.0,-54.63142299643516
n10_e001_RES16527 & n10_e001_RES16290,32.4,1.8127935003998892,1.4018827468667094,2.2394405677888423,1.0,1.0,0.0,-4.239106403662018
n10_e001_RES34296 & n10_e001_RES37454,33.2,2.486001355628882,2.0034626101628605,3.0360047339740275,1.0,1.0,0.0,-3.405757838203742
n10_e001_RES35358 & n10_e001_RES36475,53.7,3.4687844367160863,2.7747583070754263,4.3016062666046055,1.0,1.0,0.0,-5.72254806165499
n10_e001_RES36507 & n10_e001_RES40045,29.1,2.4178736803231464,1.9574643674618213,2.9558390587704895,1.0,1.0,0.0,-2.7318772962873767
n10_e001_RES31412 & n10_e001_RES31520,1487.3,21.297837649161036,13.704386989364995,30.025498522259145,0.9999772727272728,1.0,0.0,-190.66190735417672
n10_e001_RES26025 & n10_e001_RES28141,1842.8,12.363228817149789,4.37771426745786,20.721612338067192,0.9801136363636364,1.0,0.0,-249.69084340597104
n10_e001_RES11634 & n10_e001_RES11345,103.4,2.8470492898693256,2.0734279491062906,3.6871770990995216,1.0,1.0,0.0,-14.200814529916515
n10_e001_RES37145 & n10_e001_RES40383,103.8,5.003547770628269,3.926814238055916,6.275490410977729,1.0,1.0,0.0,-11.118700028273672
n10_e001_RES35193 & n10_e001_RES36956,131.2,4.101034388813731,3.019039153286761,5.308874673467887,1.0,1.0,0.0,-16.628506964814974
n10_e001_RES15127 & n10_e001_RES14314,90.3,2.635937961656086,1.915876433714508,3.3970662438823207,1.0,1.0,0.0,-12.207690031021652
